city,imageLink,iamgePath,nickName
南昌市,https://rpic.douyucdn.cn/amrpic-180523/879562_1738.jpg,/home/python/Desktop/scrapy2/douyu/images/你kui大大,你kui大大
荆门市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/07/3845571_20180507233044_big.jpg,/home/python/Desktop/scrapy2/douyu/images/禾苗儿777,禾苗儿777
杭州市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/03/20/2622693_20180320000052_big.jpg,/home/python/Desktop/scrapy2/douyu/images/乌克兰小逗包,乌克兰小逗包
厦门市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/02/4847554_20180502171125_big.jpg,/home/python/Desktop/scrapy2/douyu/images/李以唯,李以唯
鱼塘,https://rpic.douyucdn.cn/live-cover/appCovers/2018/04/15/1773564_20180415091852_big.jpg,/home/python/Desktop/scrapy2/douyu/images/丶糖心儿,丶糖心儿
重庆市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/04/12/4629277_20180412200456_big.jpg,/home/python/Desktop/scrapy2/douyu/images/阮穆青青,阮穆青青
成都市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/14/2640365_20180514171046_big.jpg,/home/python/Desktop/scrapy2/douyu/images/云小朵MM,云小朵MM
厦门市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/21/4528827_20180521001744_big.jpg,/home/python/Desktop/scrapy2/douyu/images/京宝有点可爱,京宝有点可爱
杭州市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/04/06/4601196_20180406173908_big.jpg,/home/python/Desktop/scrapy2/douyu/images/冥王星小瑞塔,冥王星小瑞塔
长沙市,https://rpic.douyucdn.cn/amrpic-180523/4675347_1739.jpg,/home/python/Desktop/scrapy2/douyu/images/泠若晞,泠若晞
武汉市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/22/526583_20180522015709_big.jpg,/home/python/Desktop/scrapy2/douyu/images/Y丶薄荷,Y丶薄荷
